xml:id	Lemma	Wortart	Level	Definition	Konzept
CA00227	Amo()s			Zündpapierblättchen für Kinderspielrevolver	kein_Trinken
CB00186	Baren	f.		Heu- oder Fruchtstock) Garbenschichte, Heubarn, Fruchtbarn	kein_Trinken
CU00204	us-fotzlen	intr. v.		ausfasern, sich fransenartig ablösen	kein_Trinken
CB00360	becksen				kein_Trinken
CD01116	Tur	m.	1	Spaziergang, Ausflug	kein_Trinken
CG00514	Ge-pleschter	n.	1	Verputz, Mauerbewurf	kein_Trinken
CS01485	Sesil			weibl. Vorname Cäcilie	kein_Trinken
CN00061	Names-da	m.		Namenstag	kein_Trinken
CB00941	plakieren	tr. v.		belegen, furnieren	kein_Trinken
CE00137	mescht			jemand	kein_Trinken
CH00342	Hecht	f.		elende, einer Höhle gleichende Hütte	kein_Trinken
CK01302	krubeldich				kein_Trinken
CW00034	Wagabong	m.		Vagabund	kein_Trinken
CF00924	Vir-span	m.		Vorspann	kein_Trinken
CS01771	Spinse-klee	m.		Luzerne	kein_Trinken
CL00195	Leb			Löwe	kein_Trinken
CB00936	Blah	n.		Wagendecke aus grober Leinwand	kein_Trinken
CK00845	Knopp	m.	1	Knopf	kein_Trinken
CK01397	Kump	f.	1	Wetzsteinbehälter	kein_Trinken
CH00387	Heidel-beer	f.		Heidelbeere	kein_Trinken
CF00216	Velten			männl. Vorname Valentin	kein_Trinken
CK00956	Komper	m.	1	Gevattersmann	kein_Trinken
CW00089	Wanderschaft	f.	1	wenn ein Gegenstand ausgeliehen ist und lange nicht zurückgebracht wird	kein_Trinken
CA00429	Ätscht	m.		Achter, eine 8	kein_Trinken
CG00786	gigsen	tr. v.		kitzeln	kein_Trinken
CH00730	hohl	f.	1	hohl, leer	kein_Trinken
CN00283	nollen	intr. v.		lutschen, am Daumen saugen	kein_Trinken
CS01758	spimen			entwöhnen	kein_Trinken
CK00578	Kitschener	m.		Kutscher	kein_Trinken
CN00120	neidern				kein_Trinken
CW00178	Wawe			Wagen	kein_Trinken
CG00603	ge-schmack	m.		Geruch	kein_Trinken
CE00094	ekeln			ekeln	kein_Trinken
CK00273	Katschissen	m.	1	Katechismus	kein_Trinken
CF01004	flattierlich			Lix	kein_Trinken
CF00379	ver-glicklen	tr. v.		verzärteln, verwöhnen	kein_Trinken
CF00901	Fir-duch	n.		Schürze	kein_Trinken
CD00661	trachten	intr. v.		trachten	kein_Trinken
CR00369	reschten	intr. v.		rösten	kein_Trinken
CH00556	Hew	f.		Hefe	kein_Trinken
CB01669	puff	m.		fast allg	kein_Trinken
CS00293	Schangschement	n.	1	Veränderung	kein_Trinken
CH00573	Hib	m.		Räuschchen	kein_Trinken
CK00004	Kabott	f.	1	Kopfüberwurf	kein_Trinken
CS02019	Stek				kein_Trinken
CH00655	Hinsch	f.		Krankheit der Kühe, die sich in übermäßiger Anschwellung des Euters äußert	kein_Trinken
CF00331	ver-ellt	adj.		mit Flecken im Gesicht versehen	kein_Trinken
CK01435	Kurbel	f.	1	runder, offener Brotkorb, ohne Handgriff	kein_Trinken
CB01432	Prester-duttler			"Spitzname der Einwohner von Obergailbach
("	kein_Trinken
CS00860	schmodeln	intr. v.	1	ungeschickt, schlecht kochen	kein_Trinken
CB01514	Brolen	m.		Braten	kein_Trinken
CG00158	Gawriel			männlicher Vorname Gabriel	kein_Trinken
CA00256	anescht			anders	kein_Trinken
CF00414	ver-hokt	adj.		(eigentl. u. übertr.) mit Haken versehen	kein_Trinken
CR00472	Rischpel	m.		Regung, Bewegung, Tätigkeit	kein_Trinken
CS00176	Saubel				kein_Trinken
CG00348	Gejend	f.		Gegend	kein_Trinken
CK01244	krischen	intr. v.		weinen, schreien, kreischen, schimpfen	kein_Trinken
CB01599	Bruscht-lappen			n. Weste. Rda	kein_Trinken
CG00631	Ge-setz	n.		Gesetz	kein_Trinken
CH00149	Hand-hewer		1	Handgriff, Handhabe	kein_Trinken
CG00465	Ge-mäner	m.	1	Mitglied einer Gemeinde, Teilhaber am Gemeindegut	kein_Trinken
CZ00274	Zwilich	m.		Zwilch, zweifädiges Gewebe, grobe Leinwand	kein_Trinken
CK00945	kommen				kein_Trinken
CL00280	Leischten			s. Läschten	kein_Trinken
CB00238	Paschtor	m.		kathol. Geistlicher. Rda	kein_Trinken
CK00112	Kammod	f.		Haube, wie sie früher die alten Frauen trugen	kein_Trinken
CG00385	Ge-krontzel	n.		Dasselbe wie	kein_Trinken
CA00140	A-kommes	n.		das Einkommen, die Renten	kein_Trinken
CD00282	Dempel	m.		Tümpel, tiefe Stelle im Wasser	kein_Trinken
CI00019	Ilecht	f.		Höhle, bes. Tierhöhle	kein_Trinken
CS02086	Stickere			f. Stickerei	kein_Trinken
CK01272	kriwlen		1	mit den Fingern oder einem spitzen Gegenstand an etwas bohren	kein_Trinken
CS01118	Schorsch			männl. Vorname Georg	kein_Trinken
CI00013	Ijel	m.		Igel	kein_Trinken
CB00059	Bagadell	f.		Kleinigkeit	kein_Trinken
CS02011	Steil	m.		Pfeiler, Säule	kein_Trinken
CL00516	losen	intr. v.		lauschen, horchen, zuhören	kein_Trinken
CB00798	Billjet	n.	1	Briefchen	kein_Trinken
CB00515	belzen	tr. v.	1	den Pelz od. die Haut abziehen, balgen	kein_Trinken
CH00322	Haut			Schlag, Hieb	kein_Trinken
CF00294	ver-deffendieren	refl. v.		sich verteidigen (durch lebhaftes Sprechen)	kein_Trinken
CS01463	Senkel	m.		Senkblei; bleibeschwerte Schnur, welche die vertikale Richtung angibt	kein_Trinken
CG00714	ge-wäscht	adj.		durchtrieben, gerieben	kein_Trinken
CS01908	stäfen	tr. v.		fortstäuben, fortjagen	kein_Trinken
CD00092	dämmerich	adj.		dämmernd, von der Zeit	kein_Trinken
CA00098	Affekat	m.		Advokat, Rechtsanwalt. — Rda	kein_Trinken
CR00146	rasi(ch)	adj.		rasend, sehr zornig	kein_Trinken
CM00698	Muschel	f.	1	Muschel	kein_Trinken
CG00829	Gläs				kein_Trinken
CB01066	blo	adj.		blau	kein_Trinken
CK00599	Klabber			s. Kläpper; klabbern s. kläpperen	kein_Trinken
CI00188	Iwer-inne-krut	n.		Hasenohr	kein_Trinken
CD00101	Dank	m.		allg	kein_Trinken
CM00601	Moppel	m.		n. Kalb od. Hund, ein gedrungenes Tier überh. in der Kindersprache	kein_Trinken
CN00238	Nisch	f.		Nische	kein_Trinken
CA00412	äsch-gro	adj.		aschgrau	kein_Trinken
CA00045	Abrel	m.		der Monat April	kein_Trinken
CD00539	Dode-kohlen			Pü	kein_Trinken
CD00574	Tolle	m.		Schimpfwort) Tölpel, Dummkopf	kein_Trinken
CR00195	Rawiner	m.		Rabiner	kein_Trinken
CB00527	be-newelt	adj.		leicht betrunken, benebelt	kein_Trinken
CS01179	schrineren	intr. v.		schreinern, als Schreiner arbeiten	kein_Trinken
CR00504	Rob	f.		Frauenkleid	kein_Trinken
CB00114	bamplich	adj.		baumelnd, schlecht sitzend von Kleidern	kein_Trinken
CF01089	Flos	m.	1	Kuchen, der in der Flamme des Backofens	kein_Trinken
CF01174	Fort-kommes	m.		gute Bestallung, Fortkommen, gute Aussicht	kein_Trinken
CD00546	Dode-vogel	m.		Zwergeule, Käuzchen	kein_Trinken
CF00602	ver-sauen			beschmutzen	kein_Trinken
CG00763	Gibe-arsch				kein_Trinken
CR00119	Rappel	f.		Klapper, womit die Kinder zur Osterzeit die Leute zur Kirche rufen	kein_Trinken
CS01193	Schrub			Schraube	kein_Trinken
CB01172	Bodell			Flasche	kein_Trinken
CS00249	Schalbes	m.		Spaßvogel, schaler Kerl, bornierter Mensch	kein_Trinken
CR00396	rewoldieren	intr. v.		machen	kein_Trinken
CK00504	kippen	tr. v.		ärgern, Verdruß erregen	kein_Trinken
CW00553	wond				kein_Trinken
CK01483	Kwäls	m.		Skrofeln	kein_Trinken
CI00172	Iwer-gank	m.	1	Übergang	kein_Trinken
CF00351	ver-furzen	tr. v.		verfurzen	kein_Trinken
CE00352	Espe	f.		Espe, Zitterpappel	kein_Trinken
CI00088	in-salzen		1	anschwärzen	kein_Trinken
CB01238	Pont	f.		f. hölzerner Pfropfen, womit das Spundloch eines Fasses verstopft wird	kein_Trinken
CG00678	Ge-strissds	n.		Sträußer	kein_Trinken
CD01165	Tusch			Tausch	kein_Trinken
CB00006	Babbler	m.		fast allg	kein_Trinken
CW00510	Wiwel	n.		junge Gans od. Ente in der Kindersprache; überh. etwas aZpeliges wie Küchlein, kleine Vögel	kein_Trinken
CS02498	Surle	m.		Mensch, der alles in Unordnung bringt	kein_Trinken
CS00518	Schind-mähr	f.	1	Schindmähre; alter, elender Gaul	kein_Trinken
CB01483	Brit-rose	f.		Braut- od. Pfingstrose	kein_Trinken
CB00510	beluchsen	tr. v.		hintergehen, betrügen, übervorteilen	kein_Trinken
CE00381	exakt	adj. u. adv.		genau, pünktlich	kein_Trinken
CF00011	Fackel	f.		Fackel	kein_Trinken
CH00681	Hirzel	m.		Einlaßtürchen in einem großen Tor, bes. das Pförtchen in einem Scheunentor. Rda	kein_Trinken
CO00051	of-reselen	tr. v.		abrütteln, abschütteln	kein_Trinken
CB00656	Besirk	m.		Bezirk	kein_Trinken
CK00910	Kof	f.		Rabe	kein_Trinken
CL00199	lebendich	adj.		lebendig	kein_Trinken
CO00189	Orasch	f.		Pomeranze	kein_Trinken
CM00544	Mo'kuch			Magenkuchen) Lakritze	kein_Trinken
CG01123	grindich	adj.		fast allg. krätzig, grindig, räudig	kein_Trinken
CM00413	Miks	m.		n. Lüsterstoff, glänzender Baumwollenstoff	kein_Trinken
CU00260	u'stiwelen			dasselbe wie	kein_Trinken
CD00975	Truite-fisch	m.		Forelle	kein_Trinken
CA00461	a-wächen	tr. v.		einweichen, einbrocken (eigentl. u. übertr.)	kein_Trinken
CA00252	an-ernn			ineinander	kein_Trinken
CG00330	Geier	m.		habgierige Person, Geizhals	kein_Trinken
CB00202	Baroli	m.		Paroli, Pharaospiel	kein_Trinken
CG00130	Gasper				kein_Trinken
CA00375	Armen-hus	n.	1	Armenhaus	kein_Trinken
CA00010	abä	interj.		also, nun denn	kein_Trinken
CB01264	Bor-spicher	m.		Emporkirche	kein_Trinken
CD00058	Daifer	m.	1	Wiedertäufer, Mitglied der Baptistengemeinde	kein_Trinken
CH00749	Hol-gans	f.		Schneegans	kein_Trinken
CE00278	er-kalen	intr. v.		erkalten, erfrieren	kein_Trinken
CS02243	Strängel	m.	1	Kratzen im Halse z. B. nach Genuß von unreifem Obst	kein_Trinken
CB01027	pleken		1	pflücken	kein_Trinken
CB00022	Pack	m.		u. n. Pack, Packet, Bündel	kein_Trinken
CH00606	himmelen	intr. v.		sterben	kein_Trinken
CW00530	Wojasch	f.		Reise	kein_Trinken
CL00026	Lach	f.	1	Person, die stets zum Lachen geneigt ist	kein_Trinken
CW00488	Wisit	f.	1	Besuch	kein_Trinken
CA00475	Awis	m.		Benachrichtigung, Anzeige	kein_Trinken
CS00288	Schandel			Schindel	kein_Trinken
CS01982	stecken	m.	1	stecken	kein_Trinken
CG01246	Guggel	n.		Äuglein	kein_Trinken
CD00545	Dode-vesper			f. die vor einer feierlichen Totenmesse gesungenen Laudes	kein_Trinken
