"srcid"	"srclemma"	"tgtid"	"tgtlemma"	"tgtlevel"	"tgtdef"	"Konzept"
"M02926"	"Most"	"M01478"	"Most"	"1."	"süsser Apfelwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"M02926"	"Most"	"M01478"	"Most"	"2."	"süsser Traubenwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"N00295"	"nach-trinken"	"T02161"	"nach trinken"		"einem andern nachtrinken, nach einem andern aus demselben Glas trinken "	"Trinken"
"N00483"	"N&#x00e4;hts"	"N00683"	"N&#x00e4;z"	"4."	"schlechtes Getränk "	"Getränk"
"Q00303"	"Quetschen-schnaps"	"S03505"	"Quëtschelschnaps, Quëtschenschnaps, Quetschenschnaps"		"Branntwein aus Zwetschen "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"R00049"	"Rachen-putzer"	"P02606"	"Rachenbutzer"	"1."	"saurer Wein, der vermöge seiner Weinsteinsäure den Schleim im Rachen gerinnen macht und ablöst "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"R00253"	"Rampa&#x00df;1"	"R00670"	"R&#x00e4;mpes"	"1."	"geringer Schnaps "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein "
"R01305"	"Rei&#x00df;-mich-um"	"R01113"	"Rissmichum"		"gemeiner Schnaps "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"R02704"	"Rum"	"R00626"	"Rum I"		"Rum"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"S00092"	"S&#x00e4;ckels-br&#x00fc;he"	"W01183"	"Seckelwasser"		"schlechtes Getränk, Wein und Bier "	"Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"
"S00181"	"Saft"	"S00323"	"Saft"		"Saft"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft"
"S00860"	"Sauer-milch"	"M00577"	"Surmilch"		"Sauermilch, Dickmilch, gestockte Milch; wird häufig abends mit Kartoffeln gegessen; auch zu Suppen verwendet "	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"S00897"	"saufen"	"S00280"	"sufen"	"2."	"grob von Menschen gesagt, trinken "	"Trinken"
"S00902"	"Saufens"	"S00291"	"Sufens, Saufens"	"1."	"Zecherei "	"Trinken.Alkohol_trinken"
"S01845"	"schaskenen"	"S02377 "	"schaskenen "		"trinken "	"Trinken"
"S02742"	"Schlaf-trunk"	"T02166"	"&#x2020;Schlaftrunk"		"urspr. Trunk, der dem Gaste dargereicht wurde, wenn er sich schon zu Bett begeben hatte; später Trinkgelage, das sich an die Abendmahlzeit anschloss. "	"Getränk; Trinken"
"S04243"	"Schnaps"	"S03500"	"Schnaps"	"1."	"Schnaps, Branntwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"S04254"	"schn&#x00e4;pseln"	"S03508"	"schn&#x00e4;pslen"	"1."	"Schnäpschen trinken "	"Trinken.Alkohol_trinken"
"S04255"	"schnapsen"	"S03507"	"schnapsen"	"1."	"Schnaps trinken "	"Trinken.Alkohol_trinken"
"S04720"	"Schnitz-br&#x00fc;he"	"P03727"	"Schnitzbr&#x00fc;ej"		"schlechter Wein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"S04953"	"Schockele-majem"	"K00183"	"Schokelakaffee"		"Milchschokolade mit Brot "	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kakao"
"S05980"	"schw&#x00e4;chen2"	"S03812"	"schw&#x00e4;chen"		"trinken, zechen, saufen "	"Trinken.Alkohol_trinken"
"S10098"	"stauben"	"S04592"	"st&#x00e4;&#x00fc;ben"	"6."	"derb für trinken "	"Trinken"
"S10768"	"Stich-wein"	"W00706"	"&#x2020;Stichwin"		"der zur Probe aus dem Fass genommene Wein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"S12471"	"suckeln"	"S00608"	"suckelen"		"langsam saugen "	"Trinken.Langsam_kleine_Mengen_trinken"
"S12520"	"Suff"	"S00290"	"Suff"	"1."	"Saufgelage "	"Trinken.Alkohol_trinken"
"S12524"	"s&#x00fc;ffeln"	"S00306"	"süfflen, säufflen"	"1."	"trinken, mehr scherzhaft gesagt "	"Trinken.Langsam_kleine_Mengen_trinken; Trinken.Häufig_lange_trinken"
"S12524"	"s&#x00fc;ffeln"	"S00306"	"süfflen, säufflen"	"2."	"kleine Schlücke nehmen, aber anhaltend dabei bleiben "	"Trinken.Langsam_kleine_Mengen_trinken; Trinken.Häufig_lange_trinken"
"W00931"	"Wasser"	"W01152"	"Wasser"	"1."	"Wasser, Trinkwasser, Quellwasser, Regenwasser, Fluss, Teich, See, Meer "	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser"
"W02221"	"Wermut"	"W01009"	"Wermuet"	"2."	"Wermutbranntwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"S09418"	"spritzen"	"S04525"	"spritzen"	"4."	"trinken "	"Trinken"
"S01169"	"Sauser"	"S01193"	"Suser"		"gährender Most "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
