xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Definition_gesplittet	Konzept	Lemma_gemappt	Konzept_Lemma	Def_kurz_gemappt	Konzept_Def_kurz	Def_lang_gemappt	Def_lang_ungemappt	Konzept_Def_lang	Konzept_gemappt
PD03964	Dreck-milch	Dreckmilch	Substantiv	-	die erste, dicke Milch der Kuh nach dem Kalben	['die erste', 'dicke Milch der Kuh nach dem Kalben']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk								
PD04171	Drei-männer	Dreimänner	Substantiv	-	schlechter, saurer Wein	['schlechter', 'saurer Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD04173	Dreimänner-wein	Dreimännerwein	Substantiv	-	schlechter, saurer Wein	['schlechter', 'saurer Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD04291	Trester-most	Trestermost	Substantiv	-	Nachwein aus Traubentrestern	['Nachwein aus Traubentrestern']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD04295	Trester-schnaps	Tresterschnaps	Substantiv	-	aus Weintrestern gebrannter Schnaps	['aus Weintrestern gebrannter Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Tresterschnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose						Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; 
PD04296	Trester-wasser	Tresterwasser	Substantiv	-	aus TraubenrückständenZucker und Wasser hergestellter Wein	['aus TraubenrückständenZucker und Wasser hergestellter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD04431	Trink	Trink	Substantiv		Trunk	['Trunk']	Getränk			Trunk	Getränk				Getränk
PD04433	Trink-branntwein	Trinkbranntwein	Substantiv	-	Branntwein zum Trinken	['Branntwein zum Trinken']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
PD04436	Trinkens, Trinken	Trinkens, Trinken	Substantiv	2a	Getränk für Menschen	['Getränk für Menschen']	Getränk	Trinken	Getränk						Getränk; 
PD04443	Trink-stieben	Trinkstieben	Substantiv	-	heftiger Durst	['heftiger Durst']	Durst								
PD04445	Trink-wasser	Trinkwasser	Substantiv	-	Trinkwasser	['Trinkwasser']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Trinkwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Trinkwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser				Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
PD04446	Trink-wein	Trinkwein	Substantiv	-	minderer Wein, der als Haustrunk dient	['minderer Wein, der als Haustrunk dient']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD04512	Triumph-bock	Triumphbock	Substantiv	-	Biersorte	['Biersorte']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier			Biersorte	kein_Trinken				kein_Trinken
PD04576	Troll-schoppen	Trollschoppen	Substantiv	-	letzter Schoppen, der vor dem Nachhausegehen im Stehengetrunken wird	['letzter Schoppen, der vor dem Nachhausegehen im Stehengetrunken wird']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk								
PD04611	Tropfs-bier	Tropfsbier	Substantiv	-	Bier, das nach dem Einschenken vom Hahn abtropft	['Bier, das nach dem Einschenken vom Hahn abtropft']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier								
PD04669	Trub, Trube	Trub, Trube	Substantiv	1	trüber Rückstand von Flüssigkeiten, bes. dergetrübte letzte Wein im Faß	['trüber Rückstand von Flüssigkeiten', 'bes. dergetrübte letzte Wein im Faß']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD04688	Trub-wein	Trubwein	Substantiv	-	der durch die Hefe getrübte letzte Wein im Faß	['der durch die Hefe getrübte letzte Wein im Faß']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD04691	Druck	Druck	Substantiv	3	durch Keltern gewonnener Most	['durch Keltern gewonnener Most']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft								
PD04713	Drücker	Drücker	Substantiv	1c	ausgepreßter Most	['ausgepreßter Most']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft								
PD04718	Drücker-wein	Drückerwein	Substantiv	-	Tresterwein	['Tresterwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein			Tresterwein	kein_Trinken				kein_Trinken
PD04804	Trunk	Trunk	Substantiv	1	was man auf einmal trinkt	['was man auf einmal trinkt']	Getränk	Trunk	Getränk						Getränk; 
PD04804	Trunk	Trunk	Substantiv	2	Getränk	['Getränk']	Getränk	Trunk	Getränk	Getränk	Getränk				Getränk
PD04809	Trunk-wein	Trunkwein	Substantiv	x	minderer Wein, der als Haustrunk dient	['minderer Wein, der als Haustrunk dient']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD04832	Druschelbeeren-wein	Druschelbeerenwein	Substantiv	-	Wein aus Stachelbeeren	['Wein aus Stachelbeeren']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD04844	Druschel-schnaps	Druschelschnaps	Substantiv	-	Schnaps aus Stachelbeeren	['Schnaps aus Stachelbeeren']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
PD04846	Druschel-wein	Druschelwein	Substantiv	-	Wein aus Stachelbeeren	['Wein aus Stachelbeeren']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD05026	Dullianer	Dullianer	Substantiv	-	Tresterwein	['Tresterwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein			Tresterwein	kein_Trinken				kein_Trinken
PD05027	Dullianer-brühe	Dullianerbrühe	Substantiv	-	schlechter Wein	['schlechter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD05594	Türken-wein	Türkenwein	Substantiv		spöttische Bez. für den sehr sauren Wein des Jahres 1529	['spöttische Bez. für den sehr sauren Wein des Jahres 1529']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD05604	Turko	Turko	Substantiv	2	Bez. für schlechten Wein	['Bez. für schlechten Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD05712	Durst	Durst	Substantiv	-	Durst	['Durst']	Durst	Durst	Durst	Durst	Durst				Durst
PD05776	Tut	Tut	Substantiv	-	Milch	['Milch']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk			Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk				Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
PE00146	Edel-wein	Edelwein	Substantiv	-	Edelwein	['Edelwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein			Edelwein	kein_Trinken				kein_Trinken
PE00257	Ehr-wein	Ehrwein	Substantiv		auserlesener Wein, der aus besonderen Anlässen gereicht wird	['auserlesener Wein, der aus besonderen Anlässen gereicht wird']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PE00282	Eichel-kaffee	Eichelkaffee	Substantiv	-	Kaffee-Ersatz aus gerösteten Eicheln	['Kaffee-Ersatz aus gerösteten Eicheln']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee								
PE00406	Eier-wein	Eierwein	Substantiv	-	Wein mit verrührtem Ei und Zucker	['Wein mit verrührtem Ei und Zucker']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PE01305	Elfer, Elfter	Elfer, Elfter	Substantiv	2	ein Wein von besonderer Güte	['ein Wein von besonderer Güte']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PE01315	Elfuhr-messe	Elfuhrmesse	Substantiv	-	Frühschoppen	['Frühschoppen']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk			Frühschoppen	kein_Trinken				kein_Trinken
PE01768	Erdbeeren-bowle, Erdbeer-bowle	Erdbeerenbowle, Erdbeerbowle	Substantiv	-	Erdbeerenbowle, Erdbeerbowle	['Erdbeerenbowle', 'Erdbeerbowle']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk								
PE01778	Erdbeeren-schnaps, Erdbeer-schnaps	Erdbeerenschnaps, Erdbeerschnaps	Substantiv	-	auf Erdbeeren gezogener Likör	['auf Erdbeeren gezogener Likör']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
PE01783	Erdbeeren-wein, Erdbeer-wein	Erdbeerenwein, Erdbeerwein	Substantiv	-	Erdbeerenwein, Erdbeerwein	['Erdbeerenwein', 'Erdbeerwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PE01998	Ern-wein	Ernwein	Substantiv	-	Wein, der den Erntearbeitern zum Erntefest gereicht wird	['Wein, der den Erntearbeitern zum Erntefest gereicht wird']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
