xml:id	Lemma	Wortart	Level	Definition	Konzept
ES03538	Schnurrer	m.	4.	Schmetterling	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES03620	Schnitt(e)	f.	2.	gew. Pl. mit Mehlteig übergossene und im Wasser gekochte Brotschnitten	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES03623	Wasserschnitten		2.	Mehlteig in heisses Wasser durch einen Trichter gelassen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES03804	schwëblen		1.	schwefeln, vom Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES03815	schwaderen		1.	plätschern, sich im Wasser herumtummeln	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES03849	geschwullen		3.	betrunken	Getränk
ES03851	verschwëllen		3.	durch Wasser dicht werden, von Holzgegenständen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES03858	schwellen		1.	schwellen machen, z. B. das Wasser stauen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES03860	geschwellen		1.	das Wasser stauen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES03863	Geschwell		1.	Wasserwehr	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES03863	Geschwell		3.	Anschwellung von Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES03868	Schwelg	m.	1.	Wasserholunder	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES03920	schwënken		2.	durch Schwenken in Wasser reinigen, spülen, von Wäsche und Gläsern	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES03991	schwerzen		2.	trinken	Trinken
ES04110	Gänslespiel		1.	öffentliche Belustigung der Schiffer, wobei sie eine Gans, die an einem Seil über dem Wasser aufgehängt ist, im Nachen darunter hinfahrend zu erhaschen suchen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES04195	Gespänn	n.	3.	Vorrichtung, die man den Kühen um den Hals legt, damit sie ihre Milch nicht selbst aussaugen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
ES04496	Sprosse,		1.	(runde) Sprosse einer Leiter. (Vgl	Getränk
ES04513	Sprit	m.	2.	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES04525	spritzen,		4.	trinken	Trinken
ES04531	verspritzen		1.	Wasser oder Kot auf jem. spritzen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES04532	Spritzer	m.	5.	kleine Menge Branntwein, die man in den schwarzen Kaffee giesst	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES04540	Sprutzer	m.	1.	Wasserstrahl	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
