xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Definition_gesplittet	Konzept	Lemma_gemappt	Konzept_Lemma	Def_kurz_gemappt	Konzept_Def_kurz	Def_lang_gemappt	Def_lang_ungemappt	Konzept_Def_lang	Satzwurzel	Konzept_Satzwurzel	Konzept_gemappt
PA00275	ab-gießen	abgießen	Verb	-	vom Satz durch Gießen entfernen	['vom Satz durch Gießen entfernen']	kein_Trinken										kein_Trinken
PA00764	ab-steigen	absteigen	Verb	1.2	einkehren	['einkehren']	kein_Trinken			einkehren	kein_Trinken						kein_Trinken
PA01084	Adler	Adler	Substantiv	2	Gasthaus zum Adler	['Gasthaus zum Adler']	kein_Trinken										kein_Trinken
PA01105	Affe	Affe	Substantiv	4	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
PA01551	Ambuschur	Ambuschur	Substantiv	2	wer tüchtig im Trinken ist	['wer tüchtig im Trinken ist']	kein_Trinken										kein_Trinken
PA01683	an-brüten	anbrüten	Verb	x2	angeheitert	['angeheitert']	kein_Trinken			angeheitert	kein_Trinken						kein_Trinken
PA01953	an-heitern	anheitern	Verb	-	anheitern	['anheitern']	kein_Trinken			anheitern	kein_Trinken						kein_Trinken
PA02139	Anrauch-kopf	Anrauchkopf	Substantiv	2	betrunken sein, bzw. aussehen	['betrunken sein', 'bzw. aussehen']	kein_Trinken										kein_Trinken
PA02161	an-rudeln	anrudeln	Verb	-	betrunken sein	['betrunken sein']	kein_Trinken										kein_Trinken
PA02263	an-setzen	ansetzen	Verb	6	(Bowle) ansetzen	['(Bowle) ansetzen']	kein_Trinken										kein_Trinken
PA02302	an-stechen	anstechen	Verb	1	den Zapfhahn in ein Bier- oder Weinfaß treiben	['den Zapfhahn in ein Bier- oder Weinfaß treiben']	kein_Trinken										kein_Trinken
PA02304	an-stecken	anstecken	Verb	1	anzapfen	['anzapfen']	kein_Trinken			anzapfen	kein_Trinken						kein_Trinken
PA02306	Ansteck-kran	Ansteckkran	Substantiv	-	großer Hahn am Faß	['großer Hahn am Faß']	kein_Trinken										kein_Trinken
PA02319	An-stich	Anstich	Substantiv	-	das Anstechen eines Fasses	['das Anstechen eines Fasses']	kein_Trinken										kein_Trinken
PA02333	an-streichen	anstreichen	Verb	7	betrunken machen	['betrunken machen']	kein_Trinken										kein_Trinken
PA02450	an-zapfen	anzapfen	Verb	1	den Zapfenins Faß schlagen und das erste Mal Bier (Wein) laufen lassen	['den Zapfenins Faß schlagen und das erste Mal Bier (Wein) laufen lassen']	kein_Trinken										kein_Trinken
PA02559	Äpfel-traben	Äpfeltraben	Substantiv	-	Rückstand beim Apfelkeltern	['Rückstand beim Apfelkeltern']	kein_Trinken										kein_Trinken
PA02560	Apfel-trester	Apfeltrester	Substantiv	-	Rückstand beim Apfelkeltern	['Rückstand beim Apfelkeltern']	kein_Trinken										kein_Trinken
PA02680	Arm, Armen	Arm, Armen	Substantiv	2a	eiserne Stange, an der das Wirtshausschild angebracht ist	['eiserne Stange', 'an der das Wirtshausschild angebracht ist']	kein_Trinken										kein_Trinken
PA02908	Attacke	Attacke	Substantiv	3	Gelage	['Gelage']	kein_Trinken			Gelage	kein_Trinken						kein_Trinken
PA03044	auf-fahren	auffahren	Verb	2a	auftischen	['auftischen']	kein_Trinken			auftischen	kein_Trinken						kein_Trinken
PA03408	Auf-träger	Aufträger	Substantiv	-	Hilfskräfte, die bei großen Veranstaltungen den Gästen den Wein bringen	['Hilfskräfte, die bei großen Veranstaltungen den Gästen den Wein bringen']	kein_Trinken										kein_Trinken
PA03421	auf-tun	auftun	Verb	2	mit dem Ausschank beginnen	['mit dem Ausschank beginnen']	kein_Trinken										kein_Trinken
PA03431	Auf-wärter	Aufwärter	Substantiv	-	Aushilfskellner	['Aushilfskellner']	kein_Trinken			Aushilfskellner	kein_Trinken						kein_Trinken
PA03965	Aus-schank	Ausschank	Substantiv	-	Ausschank	['Ausschank']	kein_Trinken			Ausschank	kein_Trinken						kein_Trinken
PA03974	aus-schenken	ausschenken	Verb	-	Getränke ausschenken	['Getränke ausschenken']	kein_Trinken										kein_Trinken
PA04096	aus-stoßen	ausstoßen	Verb	3	anzapfen	['anzapfen']	kein_Trinken			anzapfen	kein_Trinken						kein_Trinken
PA04100	aus-streichen	ausstreichen	Verb	2	ausgehen, das Wirtshaus besuchen	['ausgehen, das Wirtshaus besuchen']	kein_Trinken										kein_Trinken
PA04122	Austrag-mädchen	Austragmädchen	Substantiv	-	das Mädchen, das das eingeschenkte Bier austrägt	['das Mädchen, das das eingeschenkte Bier austrägt']	kein_Trinken										kein_Trinken
PA04188	aus-zapfen, -zäpfen	auszapfen, auszäpfen	Verb	-	Getränk durch den Zapfen aus dem Faß auslassen	['Getränk durch den Zapfen aus dem Faß auslassen']	kein_Trinken										kein_Trinken
PB00444	Ballen, Ball	Ballen, Ball	Substantiv	5	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
PB00465	Ballon	Ballon	Substantiv	4	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
PB00513	Bambusch	Bambusch	Substantiv	1	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
PB00520	Bampel	Bampel	Substantiv	2c	Gastwirt	['Gastwirt']	kein_Trinken			Gastwirt	kein_Trinken						kein_Trinken
PB00543	Bampel-wirt	Bampelwirt	Substantiv	-	ein Wirt, der sich nicht um die Gäste kümmert	['ein Wirt, der sich nicht um die Gäste kümmert']	kein_Trinken										kein_Trinken
PB00544	Bampel-, Bämpeles-wirtschaft	Bampelwirtschaft, Bämpeleswirtschaft	Substantiv	-	nachlässig geführte Wirtschaft	['nachlässig geführte Wirtschaft']	kein_Trinken										kein_Trinken
PB00552	Bamscher	Bamscher	Substantiv	-	Trunkenbold	['Trunkenbold']	kein_Trinken			Trunkenbold	kein_Trinken						kein_Trinken
PB01111	Patsch-hand	Patschhand	Substantiv	3	Trinkgeld	['Trinkgeld']	kein_Trinken			Trinkgeld	kein_Trinken						kein_Trinken
PB01158	Batzen-häuslein	Batzenhäuslein	Substantiv	-	Wirtschaft an der Landstraße, wo der Wein 1 Batzen kostet	['Wirtschaft an der Landstraße', 'wo der Wein 1 Batzen kostet']	kein_Trinken										kein_Trinken
PB01348	Baum	Baum	Substantiv	5	Gasthausname	['Gasthausname']	kein_Trinken			Gasthausname	kein_Trinken						kein_Trinken
PB01417	Bause, Pause, Bausen, Pausen	Bause, Pause, Bausen, Pausen	Substantiv	4	Alkoholrausch	['Alkoholrausch']	kein_Trinken			Alkoholrausch	kein_Trinken						kein_Trinken
PB01540	Bedien-mädchen	Bedienmädchen	Substantiv	-	Kellnerin	['Kellnerin']	kein_Trinken			Kellnerin	kein_Trinken						kein_Trinken
PB01542	Be-dienung	Bedienung	Substantiv	-	Bedienungspersonal im Gastgewerbe	['Bedienungspersonal im Gastgewerbe']	kein_Trinken										kein_Trinken
PB01546	be-drust	bedrust	Adjektiv	-	betrunken	['betrunken']	kein_Trinken			betrunken	kein_Trinken						kein_Trinken
PB01551	be-duselt	beduselt	Adjektiv	-	ein wenig betrunken	['ein wenig betrunken']	kein_Trinken										kein_Trinken
PB01657	be-hurmelt	behurmelt	Adjektiv	-	leicht betrungken	['leicht betrungken']	kein_Trinken										kein_Trinken
PB01796	Beize	Beize	Substantiv	2	kleines, unordentliches Gasthaus	['kleines', 'unordentliches Gasthaus']	kein_Trinken										kein_Trinken
PB01819	be-koren	bekoren	Verb	-	kosten	['kosten']	kein_Trinken			kosten	kein_Trinken						kein_Trinken
PB01911	Bemscher	Bemscher	Substantiv	-	Trinker	['Trinker']	kein_Trinken			Trinker	kein_Trinken						kein_Trinken
PB02153	be-schickert	beschickert	Adjektiv	-	angeheitert	['angeheitert']	kein_Trinken			angeheitert	kein_Trinken						kein_Trinken
PB02166	be-schmort	beschmort	Adjektiv	-	betrunken	['betrunken']	kein_Trinken			betrunken	kein_Trinken						kein_Trinken
PB02171	be-schnuckt	beschnuckt	Adjektiv	-	angeheitert	['angeheitert']	kein_Trinken			angeheitert	kein_Trinken						kein_Trinken
PB02173	be-schokert	beschokert	Adjektiv	-	betrunken	['betrunken']	kein_Trinken			betrunken	kein_Trinken						kein_Trinken
PB02190	be-schwipst	beschwipst	Adjektiv	-	angeheitert	['angeheitert']	kein_Trinken			angeheitert	kein_Trinken						kein_Trinken
PB02248	be-ständert	beständert	Adjektiv	-	betrunken	['betrunken']	kein_Trinken			betrunken	kein_Trinken						kein_Trinken
PB02276	be-stußt	bestußt	Adjektiv	2	einen Rausch haben	['einen Rausch haben']	kein_Trinken										kein_Trinken
PB02604	Pfaffen-schänke	Pfaffenschänke	Substantiv		Schankbetrieb, dessen Reingewinn den Klerikern zufloß	['Schankbetrieb, dessen Reingewinn den Klerikern zufloß']	kein_Trinken										kein_Trinken
PB02919	Pfetzer	Pfetzer	Substantiv	3	Trinker	['Trinker']	kein_Trinken			Trinker	kein_Trinken						kein_Trinken
PB02933	Pfiffer	Pfiffer	Substantiv	2	Trinker	['Trinker']	kein_Trinken			Trinker	kein_Trinken						kein_Trinken
PB03059	Pflug	Pflug	Substantiv	3	Gasthaus zum Pflug	['Gasthaus zum Pflug']	kein_Trinken										kein_Trinken
PB01054	Bastrenk	Bastrenk	Substantiv	-	Tanzlokal, Kneipe, Schenke	['Tanzlokal', 'Kneipe', 'Schenke']	kein_Trinken										kein_Trinken
PB03369	Bier-ausschank	Bierausschank	Substantiv	-	Bierausschank	['Bierausschank']	kein_Trinken			Bierausschank	kein_Trinken						kein_Trinken
PB03373	Bier-blättel	Bierblättel	Substantiv	-	Bierfilz	['Bierfilz']	kein_Trinken			Bierfilz	kein_Trinken						kein_Trinken
PB03377	Bier-deckel	Bierdeckel	Substantiv	-	Bierfilz	['Bierfilz']	kein_Trinken			Bierfilz	kein_Trinken						kein_Trinken
PB03381	Bier-filz	Bierfilz	Substantiv	-	Unterlage für das Bierglas im Wirtshaus	['Unterlage für das Bierglas im Wirtshaus']	kein_Trinken										kein_Trinken
PB03382	Bier-flasche	Bierflasche	Substantiv	-	Bierflasche	['Bierflasche']	kein_Trinken			Bierflasche	kein_Trinken						kein_Trinken
PB03388	Bier-garten	Biergarten	Substantiv	-	Garten einer Bierwirtschaft	['Garten einer Bierwirtschaft']	kein_Trinken										kein_Trinken
PB03391	Bier-glas	Bierglas	Substantiv	-	Bierglas	['Bierglas']	kein_Trinken			Bierglas	kein_Trinken						kein_Trinken
PB03392	Bier-haus	Bierhaus	Substantiv	2	Bierwirtschaft	['Bierwirtschaft']	kein_Trinken			Bierwirtschaft	kein_Trinken						kein_Trinken
PB03393	Bier-hefe	Bierhefe	Substantiv	-	Bierhefe	['Bierhefe']	kein_Trinken			Bierhefe	kein_Trinken						kein_Trinken
PB03399	Bier-keller	Bierkeller	Substantiv	-	Bierkeller	['Bierkeller']	kein_Trinken			Bierkeller	kein_Trinken						kein_Trinken
PB03403	Bier-knüppel	Bierknüppel	Substantiv	-	Holzgerät, mit dem der Hahn ins Faß geschlagen wird	['Holzgerät', 'mit dem der Hahn ins Faß geschlagen wird']	kein_Trinken										kein_Trinken
PB03404	Bier-kranen	Bierkranen	Substantiv	-	Hahn am Bierfaß	['Hahn am Bierfaß']	kein_Trinken										kein_Trinken
PB03406	Bier-lümmel	Bierlümmel	Substantiv		Biersäufer	['Biersäufer']	kein_Trinken			Biersäufer	kein_Trinken						kein_Trinken
PB03409	Bier-mahl	Biermahl	Substantiv		Bewirtung mit Bier	['Bewirtung mit Bier']	kein_Trinken										kein_Trinken
PB03411	Bier-reise	Bierreise	Substantiv	-	durch mehrere Wirtshäuser ziehen	['durch mehrere Wirtshäuser ziehen']	kein_Trinken								ziehen	Trinken	Trinken
PB03414	Bier-schenke	Bierschenke	Substantiv	-	Wirtschaft, in der vornehmlich Bier ausgeschenkt wird	['Wirtschaft', 'in der vornehmlich Bier ausgeschenkt wird']	kein_Trinken										kein_Trinken
PB03418	Bier-stube	Bierstube	Substantiv	-	Bierlokal	['Bierlokal']	kein_Trinken			Bierlokal	kein_Trinken						kein_Trinken
PB03420	Bier-süffel, -süffer	Biersüffel, Biersüffer	Substantiv	-	Biersäufer	['Biersäufer']	kein_Trinken			Biersäufer	kein_Trinken						kein_Trinken
PB03422	Bier-teller	Bierteller	Substantiv	-	Unterlage für das Bierglas im Wirtshaus	['Unterlage für das Bierglas im Wirtshaus']	kein_Trinken										kein_Trinken
PB03424	Bier-trinker	Biertrinker	Substantiv	-	Biertrinker	['Biertrinker']	kein_Trinken			Biertrinker	kein_Trinken						kein_Trinken
PB03428	Bier-wirt	Bierwirt	Substantiv	-	Inhaber einer Bierwirtschaft	['Inhaber einer Bierwirtschaft']	kein_Trinken										kein_Trinken
PB03429	Bier-wirtschaft	Bierwirtschaft	Substantiv	-	Wirtschaft, in der vornehmlich Bier ausgeschenkt wird	['Wirtschaft', 'in der vornehmlich Bier ausgeschenkt wird']	kein_Trinken										kein_Trinken
PB03821	Pitscher	Pitscher	Substantiv	-	Trinker	['Trinker']	kein_Trinken			Trinker	kein_Trinken						kein_Trinken
PB03914	Blaffert, Bläffer(t), Blaffer, Bläffer(t)	Blaffert, Bläffert, Bläffer, Blaffer	Substantiv	5	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
PB04008	Blase	Blase	Substantiv	II2	Wirtshausgesellschaft	['Wirtshausgesellschaft']	kein_Trinken			Wirtshausgesellschaft	kein_Trinken						kein_Trinken
PB04015	Blaser, Bläser	Blaser, Bläser	Substantiv	2	tüchtiger Trinker	['tüchtiger Trinker']	kein_Trinken										kein_Trinken
PB04154	blau	blau	Adjektiv	4j'b	sinnlos betrunken	['sinnlos betrunken']	kein_Trinken										kein_Trinken
PB04731	Bocks-beutel	Bocksbeutel	Substantiv	4a	Trinker	['Trinker']	kein_Trinken			Trinker	kein_Trinken						kein_Trinken
PB04749	Böckser-bohne	Böckserbohne	Substantiv	-	verdorbene Kaffeebohne	['verdorbene Kaffeebohne']	kein_Trinken										kein_Trinken
PB04764	Bock-stall	Bockstall	Substantiv	2	schlechte Wirtschaft, verrufenes Haus	['schlechte Wirtschaft', 'verrufenes Haus']	kein_Trinken										kein_Trinken
PB04771	Bock-wirt	Bockwirt	Substantiv	-	Inhaber der Wirtschaft zum Bock in KL-Fischb	['Inhaber der Wirtschaft zum Bock in KL-Fischb']	kein_Trinken										kein_Trinken
PB04939	polen-voll	polenvoll	Adjektiv	-	betrunken	['betrunken']	kein_Trinken			betrunken	kein_Trinken						kein_Trinken
PB05208	Borte	Borte	Substantiv	2	Schaum auf dem Bier	['Schaum auf dem Bier']	kein_Trinken										kein_Trinken
PB05580	Brand	Brand	Substantiv	7	starker Rausch	['starker Rausch']	kein_Trinken	Brand	Durst								Durst
PB05630	Branntwein-brigade	Branntweinbrigade	Substantiv	-	Ausländer, die nach 1945 betrunken inKaiserslautern herumlungerten	['Ausländer, die nach 1945 betrunken inKaiserslautern herumlungerten']	kein_Trinken										kein_Trinken
PB05631	Branntwein-bruder	Branntweinbruder	Substantiv	-	notorischer Branntweintrinker	['notorischer Branntweintrinker']	kein_Trinken										kein_Trinken
PB05632	Branntwein-butelle	Branntweinbutelle	Substantiv	-	Schnapsflasche	['Schnapsflasche']	kein_Trinken			Schnapsflasche	kein_Trinken						kein_Trinken
PB05633	Branntwein-faß	Branntweinfaß	Substantiv	-	Branntweinfaß	['Branntweinfaß']	kein_Trinken			Branntweinfaß	kein_Trinken						kein_Trinken
PB05634	Branntwein-flasche	Branntweinflasche	Substantiv	-	Branntweinflasche	['Branntweinflasche']	kein_Trinken			Branntweinflasche	kein_Trinken						kein_Trinken
PB05636	Branntwein-glas	Branntweinglas	Substantiv	1	Schnapsglas	['Schnapsglas']	kein_Trinken			Schnapsglas	kein_Trinken						kein_Trinken
PB05638	Branntwein-knürbeler	Branntweinknürbeler	Substantiv	-	Schnapstrinker	['Schnapstrinker']	kein_Trinken			Schnapstrinker	kein_Trinken						kein_Trinken
PB05639	Branntwein-laden	Branntweinladen	Substantiv	-	Schnapsladen	['Schnapsladen']	kein_Trinken			Schnapsladen	kein_Trinken						kein_Trinken
PB05640	Branntwein-lump	Branntweinlump	Substantiv	-	Schnapssäufer	['Schnapssäufer']	kein_Trinken			Schnapssäufer	kein_Trinken						kein_Trinken
PB05644	Branntwein-stiebe	Branntweinstiebe	Substantiv	-	unwiderstehlicher Drang nach Schnaps	['unwiderstehlicher Drang nach Schnaps']	kein_Trinken										kein_Trinken
PB05645	Branntwein-süffer	Branntweinsüffer	Substantiv	-	notorischer Schnapstrinker	['notorischer Schnapstrinker']	kein_Trinken										kein_Trinken
PB05678	Brast	Brast	Substantiv	1.5	Trinkgelage	['Trinkgelage']	kein_Trinken			Trinkgelage	kein_Trinken						kein_Trinken
