xml:id	Lemma	Wortart	Level	Definition	Konzept
CD00698	Drank-fâs	n.		Obstweinfaß	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CD00695	Drank	m.	1.	Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CD00700	tränken	tr. v.		fast allg. das Vieh auf die Tränke führen, ihm zu trinken geben	Trinken
CD00701	dranken			s. trinken	Trinken
CD00809	Trendel	m.	1.	Wasserstrudel	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CD00816	drenken			s. trinken	Trinken
CD00818	Trep(s)		2.	Öffnung, Spalte, durch welche das Wasser sickert	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CD00818	Trep(s)		3.	Gläschen Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CD00863	Trillert	m.		Wasserwirbel	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CD00870	trinken	tr. v.		trinken	Trinken
CD00927	Dronk	m.	1.	Trunk	Getränk
CD00927	Dronk	m.	2.	Trank, heilkräftiges Getränk	Getränk
CD00928	dronken	adj.	1.	betrunken	Getränk
CD00971	Druff	m.	1.	trüber Wein als Faßrest	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CD01008	Drusenbrantwin	m.		fast allg. Branntwein aus Weinhefe gewonnen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CD01085	tunken		1.	untertauchen, eintauchen (Brot in die Milch, in den Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
CD01116	Tur II		2.	Runde	Getränk
CD01134	Dürledü	m.		Brummschädel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CD01139	Turne	f.	1.	Runde, für jeden am Tisch ein Glas	Getränk
CD01143	Durren-oli			geschätztes Heilmittel auf dem Lande, bestehend aus Alkohol oder Öl, in welches die Werren eingetaucht werden	Getränk
CD01151	Durscht	m.		Durst	Durst
CD01155	durschtisch	adj.		durstig	Durst
CD01164	Tusch I			Strunk	Getränk
CD01185	tuten II			tüchtig trinken	Trinken
CD01188	duttlen	intr. v.		trinken, saugen	Trinken
CE00130	em	m.	2.	geronnen (von der Milch ges	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CE00259	er-dischteren	intr. v.		verdursten	Durst
CE00266	erem	adv.	1.	wiederum	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CE00266	erem	adv.	3.	herum	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CF00107	Fassel	f.		kleiner, runder Behälter mit siebartigem Boden. Er wird auf ein Gefäß gestellt u. mit geronnener Milch gefüllt; die wässerigen Bestandteile sammeln sich in dem Gefäß, aus dem Übrigen wird Käse bereitet	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CF00197	Feldbir			Trankbirne	Getränk
